time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.59875159335e-07,-6.60106076465e-08,10.0028291994,6.28307659396,0.000713305676162,0.0,-7.50553709007e-05,-7.42483013024e-06,0.0943027867618,-0.00570739500193,0.0287684985993,0.0,434.0009008706909,436.4083334515737,435.20990079305784,434.73205991934367
0.12000000000000001,-3.05231393942e-05,-4.67134737163e-06,10.0149853073,6.28273186817,0.00199941590328,0.0,-0.00109836396698,-0.000187062216882,0.310866041631,-0.005821611533,-0.000244842470549,0.0,473.9528847807146,471.7181181551095,472.09192365161766,472.0832121682584
0.18,-0.000136536037282,-2.61634543681e-05,10.0361123427,6.28191178343,0.00178736070664,0.0,-0.00242505390045,-0.000578888295396,0.393343096655,-0.0379752707425,-0.0110944239212,0.0,431.74131433176825,430.8251587879998,432.9137054627727,430.20012524820135
0.23999999999999996,-0.000322177873522,-0.000100826138581,10.0655491878,6.27936922613,0.00180514532245,0.0,-0.00373273733745,-0.00218714066362,0.587804272252,-0.0530742519926,0.0166598756144,0.0,464.8730209303462,467.0424166147606,466.8325774257289,465.6521600487248
0.3,-0.000587312714505,-0.00032288620216,10.1037553512,6.27597101741,0.00299002648217,0.0,-0.00521668845251,-0.0055481314826,0.685678486105,-0.064929945567,0.0253015121467,0.0,436.17473842176855,436.8957118146218,437.1658023489166,436.1746445057329
0.36000000000000004,-0.00097719092587,-0.000842352043891,10.1507557275,6.27166088117,0.00443697341046,0.0,-0.0079510795687,-0.0122358443256,0.880865794176,-0.0915359318748,0.0216324287522,0.0,466.80113189691497,466.51481212783034,467.66678405127067,465.5860876183503
0.4200000000000001,-0.00155739184547,-0.00185295519749,10.2080187147,6.26646138785,0.00554587048211,0.0,-0.0115204801947,-0.0220302287884,1.02777107638,-0.0783563280578,0.0112888960849,0.0,453.53779665224295,452.7063195992482,451.07098395444365,452.12776707505424
0.48000000000000015,-0.00239760736466,-0.00363640628332,10.2782944203,6.2621462594,0.0058445223588,0.0,-0.0165543681407,-0.0379944429917,1.31445655311,-0.0614358197859,-0.0122721264887,0.0,494.62964071990945,492.89161718273266,493.0099431705254,494.25487092271027
0.5400000000000001,-0.00349914629676,-0.0063265164105,10.3583962986,6.25846173697,0.00549493619256,0.0,-0.0201149065436,-0.0520186593067,1.35555021679,-0.0613545619728,0.00467258576011,0.0,418.82498597407516,420.2960852198736,419.6379905707847,419.6421003059163
0.6000000000000002,-0.00482022233375,-0.00997100975401,10.4426638198,6.25458566641,0.00560393232493,0.0,-0.0239408406798,-0.0698446316667,1.4532370571,-0.072042943031,-0.00461458688381,0.0,438.640554702733,437.8686703211938,438.3423255814362,437.450107202357
0.6600000000000003,-0.0063892461028,-0.0148635556475,10.5360792857,6.25058813161,0.00518805231608,0.0,-0.0283181380851,-0.0937203317884,1.66031879102,-0.0575468521332,-0.0120222732473,0.0,471.85901810831297,471.28697274077757,471.47421089427445,472.5896633179374
0.7200000000000003,-0.00820173968935,-0.0212322912438,10.6404799163,6.24761708393,0.00428272449864,0.0,-0.0320079480875,-0.11891489029,1.8194496631,-0.0369863605064,-0.0220614317092,0.0,457.90003671355953,457.1008686476908,457.82996934964785,459.4612271570482
0.7800000000000004,-0.010219833598,-0.0292306301941,10.7559710534,6.24526306086,0.00239714000036,0.0,-0.0350903547623,-0.14795423316,2.02989431768,-0.0441555259372,-0.0669140029826,0.0,475.6626396012745,472.2148366020381,474.19691425747385,473.64523587951334
0.8400000000000004,-0.0123596417505,-0.038892760506,10.8805389003,6.24310127522,6.28201458972,0.0,-0.0358568990897,-0.174349818092,2.12218948355,-0.0233788216806,-0.047659938112,0.0,438.39739227114757,439.99156613836635,437.2220137801488,438.94880090698007
0.9000000000000005,-0.0144728804325,-0.0502591193985,11.0126317266,6.24135444099,6.27897010955,0.0,-0.0342591135216,-0.204687456917,2.28059211811,-0.044191292421,-0.0577501461636,0.0,459.8653635699848,459.0638665765071,460.41370317815114,458.76389985475515
0.9600000000000005,-0.0164056525684,-0.0636161552235,11.1572058995,6.2388638603,6.27591434509,0.0,-0.0297638858286,-0.240846472843,2.53799249646,-0.0366249074573,-0.0399365917128,0.0,489.0036640603024,490.3272893792768,488.5798475477842,489.142858453996
1.0200000000000005,-0.018030471591,-0.0790009539751,11.3126784611,6.23633662162,6.2732905727,0.0,-0.0241415371002,-0.272209982331,2.64416977172,-0.0563508968769,-0.0526624433776,0.0,445.93556062280436,444.8937234807391,445.96557080040503,444.3503820863109
1.0800000000000005,-0.0192761725166,-0.0962530705217,11.4730040199,6.23287046221,6.26980506135,0.0,-0.0170688567118,-0.303181726542,2.6998617104,-0.0607674772805,-0.0720904044047,0.0,430.30513460476874,428.6547271584775,430.2154697349736,429.8389147330642
1.1400000000000006,-0.0200105267306,-0.115486478844,11.6377464439,6.22944076127,6.26529782527,0.0,-0.00696834379972,-0.338276962757,2.79130272347,-0.0507835448545,-0.0819946102336,0.0,442.17271628311454,441.35152848428135,440.9198042413059,441.7415501691005
1.2000000000000006,-0.0200523618952,-0.136872466304,11.8075788952,6.22643955941,6.26073820757,0.0,0.00603674554825,-0.374878380152,2.86955356899,-0.0485356431898,-0.0661025784559,0.0,436.7101461000805,438.02895156038994,438.33371332169384,438.5188685862509
